math score,reading score,writing score,average
72,72,74,72.66666667
69,90,88,82.33333333
90,95,93,92.66666667
47,57,44,49.33333333
76,78,75,76.33333333
71,83,78,77.33333333
88,95,92,91.66666667
40,43,39,40.66666667
64,64,67,65
38,60,50,49.33333333
58,54,52,54.66666667
40,52,43,45
65,81,73,73
78,72,70,73.33333333
50,53,58,53.66666667
69,75,78,74
88,89,86,87.66666667
18,32,28,26
46,42,46,44.66666667
54,58,61,57.66666667
66,69,63,66
65,75,70,70
44,54,53,50.33333333
69,73,73,71.66666667
74,71,80,75
73,74,72,73
69,54,55,59.33333333
67,69,75,70.33333333
70,70,65,68.33333333
62,70,75,69
69,74,74,72.33333333
63,65,61,63
56,72,65,64.33333333
40,42,38,40
97,87,82,88.66666667
81,81,79,80.33333333
74,81,83,79.33333333
50,64,59,57.66666667
75,90,88,84.33333333
57,56,57,56.66666667
55,61,54,56.66666667
58,73,68,66.33333333
53,58,65,58.66666667
59,65,66,63.33333333
50,56,54,53.33333333
65,54,57,58.66666667
55,65,62,60.66666667
66,71,76,71
57,74,76,69
82,84,82,82.66666667
53,55,48,52
77,69,68,71.33333333
53,44,42,46.33333333
88,78,75,80.33333333
71,84,87,80.66666667
33,41,43,39
82,85,86,84.33333333
52,55,49,52
58,59,58,58.33333333
0,17,10,9
79,74,72,75
39,39,34,37.33333333
62,61,55,59.33333333
69,80,71,73.33333333
59,58,59,58.66666667
67,64,61,64
45,37,37,39.66666667
60,72,74,68.66666667
61,58,56,58.33333333
39,64,57,53.33333333
58,63,73,64.66666667
63,55,63,60.33333333
41,51,48,46.66666667
61,57,56,58
49,49,41,46.33333333
44,41,38,41
30,26,22,26
80,78,81,79.66666667
61,74,72,69
62,68,68,66
47,49,50,48.66666667
49,45,45,46.33333333
50,47,54,50.33333333
72,64,63,66.33333333
42,39,34,38.33333333
73,80,82,78.33333333
76,83,88,82.33333333
71,71,74,72
58,70,67,65
73,86,82,80.33333333
65,72,74,70.33333333
27,34,36,32.33333333
71,79,71,73.66666667
43,45,50,46
79,86,92,85.66666667
78,81,82,80.33333333
65,66,62,64.33333333
63,72,70,68.33333333
58,67,62,62.33333333
65,67,62,64.66666667
79,67,67,71
68,74,74,72
85,91,89,88.33333333
60,44,47,50.33333333
98,86,90,91.33333333
58,67,72,65.66666667
87,100,100,95.66666667
66,63,64,64.33333333
52,76,70,66
70,64,72,68.66666667
77,89,98,88
62,55,49,55.33333333
54,53,47,51.33333333
51,58,54,54.33333333
99,100,100,99.66666667
84,77,74,78.33333333
75,85,82,80.66666667
78,82,79,79.66666667
51,63,61,58.33333333
55,69,65,63
79,92,89,86.66666667
91,89,92,90.66666667
88,93,93,91.33333333
63,57,56,58.66666667
83,80,73,78.66666667
87,95,86,89.33333333
72,68,67,69
65,77,74,72
82,82,74,79.33333333
51,49,51,50.33333333
89,84,82,85
53,37,40,43.33333333
87,74,70,77
75,81,84,80
74,79,75,76
58,55,48,53.66666667
51,54,41,48.66666667
70,55,56,60.33333333
59,66,67,64
71,61,69,67
76,72,71,73
59,62,64,61.66666667
42,55,54,50.33333333
57,43,47,49
88,73,78,79.66666667
22,39,33,31.33333333
88,84,75,82.33333333
73,68,66,69
68,75,81,74.66666667
100,100,93,97.66666667
62,67,69,66
77,67,68,70.66666667
59,70,66,65
54,49,47,50
62,67,61,63.33333333
70,89,88,82.33333333
66,74,78,72.66666667
60,60,60,60
61,86,87,78
66,62,64,64
82,78,74,78
75,88,85,82.66666667
49,53,52,51.33333333
52,53,49,51.33333333
81,92,91,88
96,100,100,98.66666667
53,51,51,51.66666667
58,76,78,70.66666667
68,83,78,76.33333333
67,75,70,70.66666667
72,73,74,73
94,88,78,86.66666667
79,86,81,82
63,67,70,66.66666667
43,51,54,49.33333333
81,91,87,86.33333333
46,54,58,52.66666667
71,77,77,75
52,70,62,61.33333333
97,100,100,99
62,68,75,68.33333333
46,64,66,58.66666667
50,50,47,49
65,69,70,68
45,52,49,48.66666667
65,67,65,65.66666667
80,76,65,73.66666667
62,66,68,65.33333333
48,52,45,48.33333333
77,88,87,84
66,65,69,66.66666667
76,83,79,79.33333333
62,64,66,64
77,62,62,67
69,84,85,79.33333333
61,55,52,56
59,69,65,64.33333333
55,56,51,54
45,53,55,51
78,79,76,77.66666667
67,84,86,79
65,81,77,74.33333333
69,77,69,71.66666667
57,69,68,64.66666667
59,41,42,47.33333333
74,71,78,74.33333333
82,62,62,68.66666667
81,80,76,79
74,81,76,77
58,61,66,61.66666667
80,79,79,79.33333333
35,28,27,30
42,62,60,54.66666667
60,51,56,55.66666667
87,91,81,86.33333333
84,83,75,80.66666667
83,86,88,85.66666667
34,42,39,38.33333333
66,77,70,71
61,56,56,57.66666667
56,68,74,66
87,85,73,81.66666667
55,65,62,60.66666667
86,80,75,80.33333333
52,66,73,63.66666667
45,56,54,51.66666667
72,72,71,71.66666667
57,50,54,53.66666667
68,72,64,68
88,95,94,92.33333333
76,64,66,68.66666667
46,43,42,43.66666667
67,86,83,78.66666667
92,87,78,85.66666667
83,82,84,83
80,75,77,77.33333333
63,66,67,65.33333333
64,60,74,66
54,52,51,52.33333333
84,80,80,81.33333333
73,68,66,69
80,83,83,82
56,52,55,54.33333333
59,51,43,51
75,74,69,72.66666667
85,76,71,77.33333333
89,76,74,79.66666667
58,70,68,65.33333333
65,64,62,63.66666667
68,60,53,60.33333333
47,49,49,48.33333333
71,83,83,79
60,70,70,66.66666667
80,80,72,77.33333333
54,52,52,52.66666667
62,73,70,68.33333333
64,73,68,68.33333333
78,77,77,77.33333333
70,75,78,74.33333333
65,81,81,75.66666667
64,79,77,73.33333333
79,79,78,78.66666667
44,50,51,48.33333333
99,93,90,94
76,73,68,72.33333333
59,42,41,47.33333333
63,75,81,73
69,72,77,72.66666667
88,92,95,91.66666667
71,76,70,72.33333333
69,63,61,64.33333333
58,49,42,49.66666667
47,53,58,52.66666667
65,70,71,68.66666667
88,85,76,83
83,78,73,78
85,92,93,90
59,63,75,65.66666667
65,86,80,77
73,56,57,62
53,52,42,49
45,48,46,46.33333333
73,79,84,78.66666667
70,78,78,75.33333333
37,46,46,43
81,82,82,81.66666667
97,82,88,89
67,89,82,79.33333333
88,75,76,79.66666667
77,76,77,76.66666667
76,70,68,71.33333333
86,73,70,76.33333333
63,60,57,60
65,73,75,71
78,77,80,78.33333333
67,62,60,63
46,41,43,43.33333333
71,74,68,71
40,46,50,45.33333333
90,87,75,84
81,78,81,80
56,54,52,54
67,84,81,77.33333333
80,76,64,73.33333333
74,75,83,77.33333333
69,67,69,68.33333333
99,87,81,89
51,52,44,49
53,71,67,63.66666667
49,57,52,52.66666667
73,76,80,76.33333333
66,60,57,61
67,61,68,65.33333333
68,67,69,68
59,64,75,66
71,66,65,67.33333333
77,82,91,83.33333333
83,72,78,77.66666667
63,71,69,67.66666667
56,65,63,61.33333333
67,79,84,76.66666667
75,86,79,80
71,81,80,77.33333333
43,53,53,49.66666667
41,46,43,43.33333333
82,90,94,88.66666667
61,61,62,61.33333333
28,23,19,23.33333333
82,75,77,78
41,55,51,49
71,60,61,64
47,37,35,39.66666667
62,56,53,57
90,78,81,83
83,93,95,90.33333333
61,68,66,65
76,70,69,71.66666667
49,51,43,47.66666667
24,38,27,29.66666667
35,55,60,50
58,61,52,57
61,73,63,65.66666667
69,76,74,73
67,72,67,68.66666667
79,73,67,73
72,80,75,75.66666667
62,61,57,60
77,94,95,88.66666667
75,74,66,71.66666667
87,74,76,79
52,65,69,62
66,57,52,58.33333333
63,78,80,73.66666667
46,58,57,53.66666667
59,71,70,66.66666667
